2026-02-01 21:48:14,954 | PROCESS ENUMERATED | {'pid': 0, 'ppid': 0, 'name': 'System Idle Process', 'path': None}
2026-02-01 21:48:14,986 | PROCESS ENUMERATED | {'pid': 4, 'ppid': 0, 'name': 'System', 'path': ''}
2026-02-01 21:48:15,078 | PROCESS ENUMERATED | {'pid': 108, 'ppid': 4, 'name': 'Registry', 'path': 'Registry'}
2026-02-01 21:48:15,094 | PROCESS ENUMERATED | {'pid': 364, 'ppid': 4, 'name': 'smss.exe', 'path': 'C:\\Windows\\System32\\smss.exe'}
2026-02-01 21:48:15,121 | PROCESS ENUMERATED | {'pid': 416, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,142 | PROCESS ENUMERATED | {'pid': 464, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,171 | PROCESS ENUMERATED | {'pid': 468, 'ppid': 456, 'name': 'csrss.exe', 'path': 'C:\\Windows\\System32\\csrss.exe'}
2026-02-01 21:48:15,203 | PROCESS ENUMERATED | {'pid': 536, 'ppid': 640, 'name': 'dwm.exe', 'path': 'C:\\Windows\\System32\\dwm.exe'}
2026-02-01 21:48:15,233 | PROCESS ENUMERATED | {'pid': 544, 'ppid': 456, 'name': 'wininit.exe', 'path': 'C:\\Windows\\System32\\wininit.exe'}
2026-02-01 21:48:15,260 | PROCESS ENUMERATED | {'pid': 552, 'ppid': 536, 'name': 'csrss.exe', 'path': 'C:\\Windows\\System32\\csrss.exe'}
2026-02-01 21:48:15,270 | PROCESS ENUMERATED | {'pid': 640, 'ppid': 536, 'name': 'winlogon.exe', 'path': 'C:\\Windows\\System32\\winlogon.exe'}
2026-02-01 21:48:15,282 | PROCESS ENUMERATED | {'pid': 684, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,296 | PROCESS ENUMERATED | {'pid': 688, 'ppid': 544, 'name': 'services.exe', 'path': 'C:\\Windows\\System32\\services.exe'}
2026-02-01 21:48:15,310 | PROCESS ENUMERATED | {'pid': 696, 'ppid': 544, 'name': 'lsass.exe', 'path': 'C:\\Windows\\System32\\lsass.exe'}
2026-02-01 21:48:15,321 | PROCESS ENUMERATED | {'pid': 764, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,329 | PROCESS ENUMERATED | {'pid': 824, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,339 | PROCESS ENUMERATED | {'pid': 848, 'ppid': 640, 'name': 'fontdrvhost.exe', 'path': 'C:\\Windows\\System32\\fontdrvhost.exe'}
2026-02-01 21:48:15,347 | PROCESS ENUMERATED | {'pid': 860, 'ppid': 544, 'name': 'fontdrvhost.exe', 'path': 'C:\\Windows\\System32\\fontdrvhost.exe'}
2026-02-01 21:48:15,356 | PROCESS ENUMERATED | {'pid': 868, 'ppid': 824, 'name': 'ShellExperienceHost.exe', 'path': 'C:\\Windows\\SystemApps\\ShellExperienceHost_cw5n1h2txyewy\\ShellExperienceHost.exe'}
2026-02-01 21:48:15,362 | PROCESS ENUMERATED | {'pid': 948, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,381 | PROCESS ENUMERATED | {'pid': 996, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,405 | PROCESS ENUMERATED | {'pid': 1076, 'ppid': 5236, 'name': 'msedgewebview2.exe', 'path': 'C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\144.0.3719.93\\msedgewebview2.exe'}
2026-02-01 21:48:15,447 | PROCESS ENUMERATED | {'pid': 1116, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,487 | PROCESS ENUMERATED | {'pid': 1204, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,541 | PROCESS ENUMERATED | {'pid': 1236, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,562 | PROCESS ENUMERATED | {'pid': 1300, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,595 | PROCESS ENUMERATED | {'pid': 1336, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,623 | PROCESS ENUMERATED | {'pid': 1348, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,641 | PROCESS ENUMERATED | {'pid': 1352, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,655 | PROCESS ENUMERATED | {'pid': 1360, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,673 | PROCESS ENUMERATED | {'pid': 1368, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,686 | PROCESS ENUMERATED | {'pid': 1392, 'ppid': 5236, 'name': 'msedgewebview2.exe', 'path': 'C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\144.0.3719.93\\msedgewebview2.exe'}
2026-02-01 21:48:15,702 | PROCESS ENUMERATED | {'pid': 1456, 'ppid': 5356, 'name': 'Code.exe', 'path': 'C:\\Users\\parth\\AppData\\Local\\Programs\\Microsoft VS Code\\Code.exe'}
2026-02-01 21:48:15,733 | PROCESS ENUMERATED | {'pid': 1504, 'ppid': 688, 'name': 'svchost.exe', 'path': 'C:\\Windows\\System32\\svchost.exe'}
2026-02-01 21:48:15,760 | PROCESS ENUMERATED | {'pid': 1544, 'ppid': 4, 'name': 'MemCompression', 'path': 'MemCompression'}
